duration,timestamp,x,value_old,value
300,2011-12-27 5:46,3,0.0029,0.0029
60,2011-12-27 5:47,1,0.0887,0.0887
0,2011-12-27 5:47,3,0.0049,0.0049
121,2011-12-27 5:49,1,0.2298,0.2298
0,2011-12-27 5:49,3,0.0048,0.0048
180,2011-12-27 5:52,1,0.0906,0.0906
0,2011-12-27 5:52,3,0.0211,0.0211
61,2011-12-27 5:53,3,0.0032,0.0032
2583,2011-12-27 6:36,3,0.0051,0.0051
301,2011-12-27 6:41,1,0.0747,0.0747
0,2011-12-27 6:41,3,0.0077,0.0077
301,2011-12-27 6:46,1,0.0768,0.0768
0,2011-12-27 6:46,3,0.0046,0.0046
1441,2011-12-27 7:10,3,0.0031,0.0031
61,2011-12-27 7:11,3,0.0036,0.0036
0,2011-12-27 7:11,1,0.0747,0.0747
240,2011-12-27 7:15,3,0.0248,0.0248
0,2011-12-27 7:15,1,0.0747,0.0747
660,2011-12-27 7:26,3,0.004,0.004
60,2011-12-27 7:27,3,0.0057,0.0057
1,2011-12-27 7:27,1,0.083,0.083
60,2011-12-27 7:28,1,0.1102,0.1102
125,2011-12-26 1:59,3,0.0126,0.0126
0,2011-12-26 1:59,1,0.0992,0.0992
60,2011-12-26 2:00,3,0.004,0.004
0,2011-12-26 2:00,1,0.0747,0.0747
61,2011-12-26 2:01,3,0.0039,0.0039
2223,2011-12-26 2:38,3,0.004,0.004
0,2011-12-26 2:38,1,0.104,0.104
120,2011-12-26 2:40,3,0.0032,0.0032
120,2011-12-26 2:42,1,0.2033,0.2033
841,2011-12-26 2:56,3,0.0029,0.0029
301,2011-12-26 3:01,3,0.0099,0.0099
0,2011-12-26 3:01,1,0.0941,0.0941
901,2011-12-26 3:16,3,0.004,0.004
60,2011-12-26 3:17,3,0.0037,0.0037
1262,2011-12-26 3:38,1,0.081,0.081
0,2011-12-26 3:38,3,0.0116,0.0116
61,2011-12-26 3:39,3,0.0052,0.0052
360,2011-12-26 3:45,1,0.0747,0.0747
481,2011-12-26 3:53,3,0.004,0.004
60,2011-12-26 3:54,3,0.0035,0.0035
0,2011-12-26 3:54,1,0.0768,0.0768
1683,2011-12-26 4:22,1,0.081,0.081
0,2011-12-26 4:22,3,0.0034,0.0034
60,2011-12-26 4:23,3,0.0058,0.0058
0,2011-12-26 4:23,1,0.104,0.104
60,2011-12-26 4:24,3,0.0049,0.0049
61,2011-12-26 4:25,3,0.0085,0.0085
60,2011-12-26 4:26,3,0.0053,0.0053
1202,2011-12-26 4:46,3,0.0094,0.0094
60,2011-12-26 4:47,3,0.0211,0.0211
120,2011-12-26 4:49,1,0.0887,0.0887
0,2011-12-26 4:49,3,0.0066,0.0066
541,2011-12-26 4:58,3,0.0036,0.0036
120,2011-12-26 5:00,3,0.0031,0.0031
0,2011-12-26 5:00,1,0.0941,0.0941
902,2011-12-26 5:15,3,0.0135,0.0135
0,2011-12-26 5:15,1,0.0887,0.0887
120,2011-12-26 5:17,3,0.0081,0.0081
0,2011-12-26 5:17,1,0.0768,0.0768
61,2011-12-26 5:18,3,0.004,0.004
0,2011-12-26 5:18,1,0.083,0.083
60,2011-12-26 5:19,3,0.0029,0.0029
0,2011-12-26 5:19,1,0.0768,0.0768
121,2011-12-26 5:21,1,0.0747,0.0747
1682,2011-12-26 5:49,3,0.0087,0.0087
0,2011-12-26 5:49,1,0.1367,0.1367
541,2011-12-26 5:58,3,0.0049,0.0049
481,2011-12-26 6:06,3,0.0052,0.0052
1442,2011-12-26 6:30,3,0.0031,0.0031
